file,line,path,element,status,file_kind,suggested_phases
src/App.tsx,605,/auth,"{
                  <GuestGuard>
                    <AuthPage />
                  </GuestGuard>
                }","Requires Reachability, Scope And Interaction Verification",runtime-or-tooling-source,12
src/App.tsx,615,/share/hand/:handId,{<HandReplayerPage />},"Requires Reachability, Scope And Interaction Verification",runtime-or-tooling-source,12
src/App.tsx,616,/replay,{<SharedHandReplayPage />},"Requires Reachability, Scope And Interaction Verification",runtime-or-tooling-source,12
src/App.tsx,619,/sim,{<SimPage />},"Requires Reachability, Scope And Interaction Verification",runtime-or-tooling-source,12
src/App.tsx,623,/dev/footer,{<ClubFooterShowcasePage />},"Requires Reachability, Scope And Interaction Verification",runtime-or-tooling-source,12
src/App.tsx,627,/dev/customization,"{
                  customizationHarnessEnabled ? (
                    <CustomizationStudioShowcasePage />
                  ) : (
                    <Navigate to=""/"" replace />
                  )
                }","Requires Reachability, Scope And Interaction Verification",runtime-or-tooling-source,12
src/App.tsx,641,/dev/financial-decisions,"{
                  financialDecisionHarnessEnabled ? (
                    <FinancialDecisionShowcasePage />
                  ) : (
                    <Navigate to=""/"" replace />
                  )
                }","Requires Reachability, Scope And Interaction Verification",runtime-or-tooling-source,12
src/App.tsx,657,/,"{
                  <AuthGuard>
                    <RouteErrorBoundary>
                      <HomePage />
                    </RouteErrorBoundary>
                  </AuthGuard>
                }","Requires Reachability, Scope And Interaction Verification",runtime-or-tooling-source,12
src/App.tsx,671,table/:tableId,"{
                  <AuthGuard>
                    <PageErrorBoundary pageName=""Table"">
                      <TableRouteSurface />
                    </PageErrorBoundary>
                  </AuthGuard>
                }","Requires Reachability, Scope And Interaction Verification",runtime-or-tooling-source,12
src/App.tsx,683,[layout/index],{<AppLayout />},"Requires Reachability, Scope And Interaction Verification",runtime-or-tooling-source,12
src/App.tsx,709,clubs,"{<Navigate to=""/"" replace />}","Requires Reachability, Scope And Interaction Verification",runtime-or-tooling-source,12
src/App.tsx,717,clubs/create,"{<Navigate to=""/?create=club"" replace />}","Requires Reachability, Scope And Interaction Verification",runtime-or-tooling-source,12
src/App.tsx,719,clubs/:clubId,"{
                    <AuthGuard>
                      <ClubMemberGuard>
                        <PageErrorBoundary pageName=""Club Home"">
                          <ClubHomePage />
                        </PageErrorBoundary>
                      </ClubMemberGuard>
                    </AuthGuard>
                  }","Requires Reachability, Scope And Interaction Verification",runtime-or-tooling-source,12
src/App.tsx,731,clubs/:clubId/agents,"{
                    <AuthGuard>
                      <ClubMemberGuard>
                        <PageErrorBoundary pageName=""Agent Management"">
                          <AgentManagementPage />
                        </PageErrorBoundary>
                      </ClubMemberGuard>
                    </AuthGuard>
                  }","Requires Reachability, Scope And Interaction Verification",runtime-or-tooling-source,12
src/App.tsx,743,clubs/:clubId/create-table,"{
                    <AuthGuard>
                      <GameCreationGuard>
                        <PageErrorBoundary pageName=""Create Table"">
                          <CreateTablePage />
                        </PageErrorBoundary>
                      </GameCreationGuard>
                    </AuthGuard>
                  }","Requires Reachability, Scope And Interaction Verification",runtime-or-tooling-source,12
src/App.tsx,755,clubs/:clubId/table-management,"{
                    <AuthGuard>
                      <ClubMemberGuard>
                        <PageErrorBoundary pageName=""Table Management"">
                          <GameManagementPage scope=""club"" />
                        </PageErrorBoundary>
                      </ClubMemberGuard>
                    </AuthGuard>
                  }","Requires Reachability, Scope And Interaction Verification",runtime-or-tooling-source,12
src/App.tsx,767,clubs/:clubId/create-table/:gameType,"{
                    <AuthGuard>
                      <GameCreationGuard>
                        <PageErrorBoundary pageName=""Table Config"">
                          <TableConfigPage />
                        </PageErrorBoundary>
                      </GameCreationGuard>
                    </AuthGuard>
                  }","Requires Reachability, Scope And Interaction Verification",runtime-or-tooling-source,12
src/App.tsx,779,clubs/:clubId/dashboard,"{<Navigate to=""../data"" relative=""path"" replace />}","Requires Reachability, Scope And Interaction Verification",runtime-or-tooling-source,12
src/App.tsx,790,clubs/:clubId/operations,"{
                    <AuthGuard>
                      <ClubMemberGuard>
                        <PageErrorBoundary pageName=""Club Operations"">
                          <ClubOperationsPage />
                        </PageErrorBoundary>
                      </ClubMemberGuard>
                    </AuthGuard>
                  }","Requires Reachability, Scope And Interaction Verification",runtime-or-tooling-source,12
src/App.tsx,802,clubs/:clubId/finance,"{
                    <AuthGuard>
                      <ClubMemberGuard>
                        <PageErrorBoundary pageName=""Finance And Risk"">
                          <ClubFinanceWorkspacePage />
                        </PageErrorBoundary>
                      </ClubMemberGuard>
                    </AuthGuard>
                  }","Requires Reachability, Scope And Interaction Verification",runtime-or-tooling-source,12
src/App.tsx,814,clubs/:clubId/control,"{
                    <AuthGuard>
                      <ClubMemberGuard>
                        <PageErrorBoundary pageName=""Club Control"">
                          <ClubControlWorkspacePage />
                        </PageErrorBoundary>
                      </ClubMemberGuard>
                    </AuthGuard>
                  }","Requires Reachability, Scope And Interaction Verification",runtime-or-tooling-source,12
src/App.tsx,826,clubs/:clubId/dashboard-full,"{
                    <AuthGuard>
                      <ClubMemberGuard>
                        <PageErrorBoundary pageName=""Club Dashboard"">
                          <ClubDashboard />
                        </PageErrorBoundary>
                      </ClubMemberGuard>
                    </AuthGuard>
                  }","Requires Reachability, Scope And Interaction Verification",runtime-or-tooling-source,12
src/App.tsx,850,clubs/:clubId/lobby,"{
                    <AuthGuard>
                      <ClubMemberGuard>
                        <PageErrorBoundary pageName=""Club Lobby"">
                          <ClubHomePage />
                        </PageErrorBoundary>
                      </ClubMemberGuard>
                    </AuthGuard>
                  }","Requires Reachability, Scope And Interaction Verification",runtime-or-tooling-source,12
src/App.tsx,862,clubs/:clubId/tournaments,"{
                    <AuthGuard>
                      <ClubMemberGuard>
                        <PageErrorBoundary pageName=""Tournaments"">
                          <TournamentPage />
                        </PageErrorBoundary>
                      </ClubMemberGuard>
                    </AuthGuard>
                  }","Requires Reachability, Scope And Interaction Verification",runtime-or-tooling-source,12
src/App.tsx,874,clubs/:clubId/messages,"{
                    <AuthGuard>
                      <ClubMemberGuard>
                        <PageErrorBoundary pageName=""Messages"">
                          <NavigateToMessenger />
                        </PageErrorBoundary>
                      </ClubMemberGuard>
                    </AuthGuard>
                  }","Requires Reachability, Scope And Interaction Verification",runtime-or-tooling-source,12
src/App.tsx,886,tournaments/:tournamentId,"{
                    <AuthGuard>
                      <PageErrorBoundary pageName=""Tournament Details"">
                        <TournamentDetails />
                      </PageErrorBoundary>
                    </AuthGuard>
                  }","Requires Reachability, Scope And Interaction Verification",runtime-or-tooling-source,12
src/App.tsx,896,tournament-lobby,"{<Navigate to=""/tournaments"" replace />}","Requires Reachability, Scope And Interaction Verification",runtime-or-tooling-source,12
src/App.tsx,897,tournaments,"{
                    <AuthGuard>
                      <PageErrorBoundary pageName=""Tournament Lobby"">
                        <TournamentLobbyPage />
                      </PageErrorBoundary>
                    </AuthGuard>
                  }","Requires Reachability, Scope And Interaction Verification",runtime-or-tooling-source,12
src/App.tsx,907,tournament-results,"{
                    <AuthGuard>
                      <PageErrorBoundary pageName=""Tournament Results"">
                        <TournamentResultsPage />
                      </PageErrorBoundary>
                    </AuthGuard>
                  }","Requires Reachability, Scope And Interaction Verification",runtime-or-tooling-source,12
src/App.tsx,917,hand-history,"{
                    <AuthGuard>
                      <PageErrorBoundary pageName=""Hand History"">
                        <HandHistoryPage />
                      </PageErrorBoundary>
                    </AuthGuard>
                  }","Requires Reachability, Scope And Interaction Verification",runtime-or-tooling-source,12
src/App.tsx,927,agent-management,"{
                    <AuthGuard>
                      <PageErrorBoundary pageName=""Agent Management"">
                        <LegacyClubToolRedirect destination=""agents"" toolName=""Agent Management"" />
                      </PageErrorBoundary>
                    </AuthGuard>
                  }","Requires Reachability, Scope And Interaction Verification",runtime-or-tooling-source,12
src/App.tsx,939,unions,"{
                    <AuthGuard>
                      <UnionNetworkGuard>
                        <PageErrorBoundary pageName=""Unions"">
                          <UnionsPage />
                        </PageErrorBoundary>
                      </UnionNetworkGuard>
                    </AuthGuard>
                  }","Requires Reachability, Scope And Interaction Verification",runtime-or-tooling-source,12
