file,blob,kind,lines,source_read,status,suggested_phases
.agent/AGENT-OPERATIONS-GUIDE.md,c8d78b06b79b82a983e229946e6f2b5a48570969,documentation,,False,Requires Individual Verification,10
.agent/architecture/CLUB-ARENA-CANONICAL-ARCHITECTURE-2026-04-28.md,9e7c89d4743a077541ea76515360299884f7961f,documentation,,False,Requires Individual Verification,10
.agent/architecture/CLUB-MONEY-LEDGERS-CANONICAL.md,d6853686d77e87e3b7a0599fbb3055ce1ec61525,documentation,,False,Requires Individual Verification,10
.agent/architecture/deploy-paths.md,63aac6096077bc1752a12afb02bebd8a180b9ed6,documentation,,False,Requires Individual Verification,10
.agent/audits/2026-07-23-full-codebase-sweep-4.md,02d967bf70427c99ccb35026e3aa20d4a24cb74d,documentation,,False,Requires Individual Verification,10
.agent/audits/2026-07-23-phantom-reference-sweep-2.md,8ca0b5b4c97ab8c9ea4373d756111654c2edfab5,documentation,,False,Requires Individual Verification,10
.agent/audits/2026-07-23-phantom-reference-sweep-3.md,c8148ec98e777165ddab785f01b9bd6f4d0ff15d,documentation,,False,Requires Individual Verification,10
.agent/audits/2026-07-26-deep-sweep-round3.md,87c0480a70bb23a461fe64d4daf198ebc52beaac,documentation,,False,Requires Individual Verification,10
.agent/audits/2026-07-29-phantom-column-findings.md,d8d44f8f4ee806edaa0c783df3a8172101e1a5ea,documentation,,False,Requires Individual Verification,10
.agent/audits/2026-08-15-SECURITY-INCIDENT-engine-host-compromise.md,fbb4bb9ca816c42cd8a51e04a2c07b40bf2acc47,documentation,,False,Requires Individual Verification,2;6;10
.agent/audits/2026-08-15-allin-dead-buttons-and-table-freeze.md,5430bcfd90c3294f387289d53c9fc215cc9c32e2,documentation,,False,Requires Individual Verification,10
.agent/audits/2026-08-15-followup-wave-preaction-429-realtime.md,01ecce4194a51274e8a572f725942e0275c2c7a5,documentation,,False,Requires Individual Verification,7;10
.agent/audits/2026-08-15-gto-refresh-was-dosing-the-platform.md,776bab316888ac896639bcdda2c0163c32f00fa4,documentation,,False,Requires Individual Verification,10
.agent/audits/2026-08-15-live-e2e-money-loop-and-dead-tables.md,b17b1ce02dde8e3aa1796fcc218c4d7b0e70c17e,documentation,,False,Requires Individual Verification,10
