path,blob_sha,category,lines,review_marker_count,named_function_class_candidate_count,literal_rpc_candidates,review_status
.github/scripts/check-token.sh,0877dca72eddbfb5dd691406de948c10850824c0,implementation,90,0,0,,inventory_only_not_audited
.github/scripts/close-superseded-prs.sh,31d9c1a1f2126c1b468173ec3e56018756cce73d,implementation,214,0,0,,inventory_only_not_audited
.github/scripts/deploy-ship-rate.mjs,7eabf5a442d35a89bf37d02a9b670a41cf4c6746,implementation,139,0,1,,inventory_only_not_audited
.github/scripts/engine-watchdog.sh,e1f90a7fb350d6195a2c8fe77ccf7eb0e1eec279,implementation,422,0,1,,inventory_only_not_audited
.github/scripts/estate-digest.mjs,f76d5cd303a4e95e815e08f58b476788a36e3e5f,implementation,217,0,0,,inventory_only_not_audited
.github/scripts/estate-integrity.sh,be1c208fdde237943fcda9f931519f0af629e2d7,implementation,266,0,0,,inventory_only_not_audited
.github/scripts/label-queued-pull-requests.mjs,8e6301c1e368b840044745a155d37ed7f45dd905,implementation,223,0,3,,inventory_only_not_audited
.github/scripts/origin-contract.sh,7716f8d4e8e62fa3703b947fa689154bf68b9302,implementation,115,0,0,,inventory_only_not_audited
.github/scripts/orphan-work-watchdog.sh,25b8235bde13731f4852479508e88238cc66453b,implementation,253,0,0,,inventory_only_not_audited
.github/scripts/pr-triage.sh,3412af08cc9cc153cb138233276e5dead0ca3431,implementation,73,0,0,,inventory_only_not_audited
.github/scripts/publish-watchdog.sh,d2b55e0023397f2fd3b24af4a7128dffa2c68769,implementation,350,0,0,,inventory_only_not_audited
.github/scripts/queue-pr.sh,e243a545b6cd6450af6760c68cffd6a9d7e7f4a8,implementation,98,0,0,,inventory_only_not_audited
.github/scripts/report-stuck-prs.sh,ef24fc4562454a580f65faf91ba3f1e184086cc5,implementation,406,0,1,,inventory_only_not_audited
.github/scripts/schedule-liveness.mjs,56f90f801aa3c1b82850dae420735ef6dd012ee2,implementation,644,0,14,,inventory_only_not_audited
.github/secret_scanning.yml,c2ce75f737db4de487dff9817bd58a49c9367fde,implementation,14,0,0,,inventory_only_not_audited
.github/workflows/agent-apply-patch.yml,bab27ebd3c2afda6f55304d5cf379a452222e63f,implementation,102,0,0,,inventory_only_not_audited
.github/workflows/agent-autopilot.yml,07ce81aad9e54002c35a27ee22647c0c97fd546a,implementation,492,0,0,,inventory_only_not_audited
.github/workflows/agent-open-pr.yml,f2349c7450d2eac6b97cd38ba09f340a576f799d,implementation,258,0,0,,inventory_only_not_audited
.github/workflows/applied-migrations-recorded.yml,8c9034152a0b4b937fdf39f05edcb4f018d71319,implementation,114,0,0,,inventory_only_not_audited
.github/workflows/auto-deploy-hetzner.yml,9eb5e678f3aeb2ca497c30b64970935a272606fd,implementation,1280,0,0,,inventory_only_not_audited
.github/workflows/ci.yml,d95dcc6b063f31eb15e1b05722f44df0b8a9f889,implementation,2024,11,6,,inventory_only_not_audited
.github/workflows/close-superseded-prs.yml,b53c804bb4d15e62f02a562ccca70893d67e4d7f,implementation,80,0,0,,inventory_only_not_audited
.github/workflows/club-create-certification.yml,15416b46517a1cd00241409cd4c3b61f77c585aa,implementation,37,0,0,,inventory_only_not_audited
.github/workflows/cron-health.yml,5e0ee6a7b55ab98b6b621cdfd721fa86cb05b70f,implementation,137,0,2,,inventory_only_not_audited
.github/workflows/deploy-monitoring.yml,fbaab1e1501fd1f9735a5b1e2ea27ecc8f8f252a,implementation,229,0,1,,inventory_only_not_audited
.github/workflows/estate-digest.yml,522201278e568b4c8317c3c4b6ca419a75ff758d,implementation,69,0,0,,inventory_only_not_audited
.github/workflows/estate-integrity.yml,1e0233e398e35ae7d538ca04843bd967f0785e1a,implementation,65,0,0,,inventory_only_not_audited
.github/workflows/main-rewind-guard.yml,ee8b3c37af38419828a56c1c658cd7e7598cde5b,implementation,193,0,0,,inventory_only_not_audited
.github/workflows/post-deploy-e2e.yml,127df0b17079ba15e945cf3ee0982436806f930b,implementation,509,0,2,,inventory_only_not_audited
.github/workflows/publish-club-arena.yml,d4a1b58812d50b5fd1e71abea6eefc2bf3aa7855,implementation,738,0,0,,inventory_only_not_audited
.github/workflows/publish-watchdog.yml,82da74615e4cf67c2d3e9d77b07160b0b00823ec,implementation,600,0,0,,inventory_only_not_audited
.github/workflows/runner-maintenance.yml,7682c2fc3ce34252fd1807fa2ec5f83355ae306c,implementation,82,0,0,,inventory_only_not_audited
.github/workflows/schema-manifest-refresh.yml,ac3d215dbb3f27732a06d7acb7bfec1496d587e9,implementation,532,0,2,,inventory_only_not_audited
.github/workflows/secrets-expiry.yml,4c2832b5ffe2dfe95e1f69485e53dcd458956a4d,implementation,65,0,0,,inventory_only_not_audited
.github/workflows/sentry-autofix.yml,61fc6a00bee8a4b9437be46be30caf1732676bb6,implementation,125,0,0,,inventory_only_not_audited
.github/workflows/silent-revert-guard.yml,f8c4ae407ea5bc5d5138a22f1d02a5f4025f43e3,implementation,111,0,0,,inventory_only_not_audited
.github/workflows/stale.yml,9817e16df50fbd286728a7ca2f3773bf0a50c479,implementation,79,0,0,,inventory_only_not_audited
.github/workflows/telemetry-exposure.yml,efb425bba858dcf1694036d259124b405113066d,implementation,94,0,2,,inventory_only_not_audited
.github/workflows/update-hetzner-env.yml,12ae96daccf575383c206fd571ce05690f0c0375,implementation,151,0,0,,inventory_only_not_audited
scripts/agent-recovery-janitor.sh,75e0316ff730a858075a47af3991a485112f20da,implementation,81,0,0,,inventory_only_not_audited
scripts/agent-trees-audit.sh,d2a4ea72ee97c8d8173978222de710bb8bdcd944,implementation,121,0,0,,inventory_only_not_audited
scripts/agent-trees-snapshot.sh,0e2e6bbf6276c30acdc7f34e6e6bfc9ac0128580,implementation,207,0,0,,inventory_only_not_audited
scripts/agent-workspace.sh,ca6298ed812a8b959e3c26e3e83f2a7364e01002,implementation,347,0,0,,inventory_only_not_audited
scripts/analyze_svg_numbers.py,812831bcdaae56f0f7cd3ad7633f4582b49cd19f,implementation,179,0,0,,inventory_only_not_audited
scripts/archive-dead-branches.sh,addaf053af6b85c9737881054832c839fed02934,implementation,119,0,0,,inventory_only_not_audited
scripts/audio/build-throwable-cues.mjs,ee859c0c588278128613b5a3ffa766146dbfd222,implementation,428,0,5,,inventory_only_not_audited
scripts/build-and-verify.sh,fcdddd2c17510067fa90018a7928d4cad2975f7e,implementation,86,0,0,,inventory_only_not_audited
scripts/check-canonical-clone.sh,6b3b67988193115792addde5f4688a1aa58079f7,implementation,98,0,0,,inventory_only_not_audited
scripts/check-club-entry-budgets.mjs,e8b051777cf75b6b0fa34f8f6a2e2212948bf7f6,implementation,58,0,0,,inventory_only_not_audited
scripts/check-node-modules.sh,78b90513d72e8b9bdf2e5b26c0f8cc35a6e650fd,implementation,65,0,0,,inventory_only_not_audited
scripts/check-unpushed-work.sh,80963d8677011a13fd3a0b04d78f05dc5a627788,implementation,112,0,0,,inventory_only_not_audited
scripts/ci/all-gates.sh,7d73092bbea99349899ce8d999a5d6e44903306f,implementation,67,0,1,,inventory_only_not_audited
scripts/ci/anchor-ledger-days.mjs,777f1c40e4e9cf1d91ae68a9698debd5c1667417,implementation,159,0,1,,inventory_only_not_audited
scripts/ci/apply-main-ruleset.mjs,299c7167f0c09f92e51b577b6f5d2ad20315533e,implementation,173,0,1,,inventory_only_not_audited
scripts/ci/assert-e2e-actually-ran.mjs,e9c948750cffac491625f74575f677a75041545e,implementation,252,0,1,,inventory_only_not_audited
scripts/ci/audit-live-definer-exposure.mjs,40eefcddad8c035b097f45c8e0843d9b6e6e0b20,implementation,357,0,5,,inventory_only_not_audited
scripts/ci/audit-second-writer.mjs,c3793e68aa16890521f4479188a518564f812bb6,implementation,279,0,6,name,inventory_only_not_audited
scripts/ci/backfill-unrecorded-migrations.mjs,cbcdd6c7970d0a0ec16ab4d4a42988148bac7265,implementation,102,0,1,,inventory_only_not_audited
scripts/ci/bundle-size.mjs,0c37a37e9a6215a52d7ee0ee2128033981b30cff,implementation,232,0,3,,inventory_only_not_audited
scripts/ci/certify-club-create.mjs,19ba864cdec6c6c01daf8c287d15501af643943e,implementation,207,0,0,fn_ca_retire_certification_club|fn_create_club_atomic|fn_get_club_creation_eligibility,inventory_only_not_audited
scripts/ci/check-alert-rules-match.mjs,1cca968ce8086be0f0a7e5c6b1c83e4baead5601,implementation,146,0,4,,inventory_only_not_audited
scripts/ci/check-allin-pointer-events.mjs,deb293e836403434ed8d42acc6dcee5569801b7a,implementation,183,0,5,,inventory_only_not_audited
scripts/ci/check-applied-migrations-are-recorded.mjs,bacc2b3ae8a50656f2a0870fd36831b1c57ab3a1,implementation,289,0,9,,inventory_only_not_audited
scripts/ci/check-bbj-functions-match-production.mjs,8694bc0ac91db512cab7c50cf338bc4677d4c214,implementation,91,0,3,,inventory_only_not_audited
scripts/ci/check-bus-wiring.mjs,90ac8af0be1dd82f6244d7a9a28e509d3422be9a,implementation,110,0,1,,inventory_only_not_audited
scripts/ci/check-chip-conservation.mjs,501c7921b5870bcc8bfdfcc847195512e9ba7772,implementation,163,0,3,,inventory_only_not_audited
scripts/ci/check-club-fk-indexes.mjs,c9f5feecece474d30d805e95a71366a51eeae103,implementation,129,0,1,,inventory_only_not_audited
scripts/ci/check-cosmetic-catalog-drift.mjs,ab6e5dd47ae51609239acc255cc70d6568ec3145,implementation,168,0,2,,inventory_only_not_audited
scripts/ci/check-cron-health.mjs,b36c5b9115fbd47de8cd211777c30da47dce5992,implementation,121,0,4,,inventory_only_not_audited
scripts/ci/check-css-modules.mjs,708833f03aec572311a54d80bea2e21576bc8506,implementation,121,0,6,,inventory_only_not_audited
scripts/ci/check-db-copy.mjs,c7ec4e94e417ae10d22f56474ad941a4001c93fe,implementation,101,0,4,,inventory_only_not_audited
scripts/ci/check-ddl-reload-storms.mjs,b64a19e76902b3686d628170f0e3a447a5fca5ec,implementation,395,0,6,,inventory_only_not_audited
scripts/ci/check-definer-authorization.mjs,71790b80e07ad61d1dda488a4e793c86dd0d3180,implementation,822,0,35,,inventory_only_not_audited
scripts/ci/check-deprecated-tables.mjs,1d9a82ecb69d106030986324baf145d4a593a7e2,implementation,154,0,2,,inventory_only_not_audited
scripts/ci/check-discarded-read-then-write.mjs,20a7dc3828e3731d6ffa310ec39df8bb313e1eed,implementation,144,0,2,,inventory_only_not_audited
